configuration,prompt,task,solution_present,hidden_pass,public_pass,sha256
GPT-4o-mini,std,task052,True,True,True,f837dfba3768f101
GPT-4o-mini,std,task053,True,True,True,e540824c7421c8fc
GPT-4o-mini,std,task054,True,True,True,d64e7cb1daea6f9f
GPT-4o-mini,std,task055,True,True,True,796381b1f9434223
GPT-4o-mini,std,task056,True,True,True,ace069a17071a796
GPT-4o-mini,std,task057,True,True,True,11f2bcda204ad5b8
GPT-4o-mini,std,task058,True,True,True,722fb7feac5d0d4e
GPT-4o-mini,std,task059,True,True,False,b457867d703f34d1
GPT-4o-mini,std,task06,True,True,True,3e1cc080b94f3c75
GPT-4o-mini,std,task060,True,True,True,393f443de8fef400
GPT-4o-mini,std,task061,True,True,False,f06824964ca924e9
GPT-4o-mini,std,task062,True,True,True,8d7bb80450f412bc
GPT-4o-mini,std,task063,True,True,True,a1156e72cae9908c
GPT-4o-mini,std,task064,True,True,True,76ae1b0e38876cb8
GPT-4o-mini,std,task065,True,True,True,129643d483c78151
GPT-4o-mini,std,task066,True,True,True,d52cd351dbc9db39
GPT-4o-mini,std,task067,True,True,True,d2ade5da421ecb37
GPT-4o-mini,std,task068,True,True,True,ede5d8f9dbda4c61
GPT-4o-mini,std,task069,True,True,True,9c554df77809547a
GPT-4o-mini,std,task07,True,True,True,76058ac8fa2473a0
GPT-4o-mini,std,task070,True,False,True,f22f459eb0bd00fe
GPT-4o-mini,std,task071,True,False,False,cc31307185b8e632
GPT-4o-mini,std,task072,True,True,True,6f1c3c10476f3879
GPT-4o-mini,std,task073,True,True,True,52b60ab7aaa46d15
GPT-4o-mini,std,task074,True,False,True,974ada1827a58720
GPT-4o-mini,std,task075,True,True,True,9407fb64a6ed2d75
GPT-4o-mini,std,task077,True,True,True,4b410b5aaf2e1118
GPT-4o-mini,std,task078,True,True,True,e136a4bcdf00d41a
GPT-4o-mini,std,task079,True,True,True,a05fc6a7559f9e21
GPT-4o-mini,std,task08,True,False,True,dfcec623afd671a0
GPT-4o-mini,std,task080,True,False,True,65736f7ae6918b75
GPT-4o-mini,std,task081,True,True,True,c2f64bc125c002a1
GPT-4o-mini,std,task082,True,False,True,c89c94917080f353
GPT-4o-mini,std,task083,True,False,True,690dd86f243f6ac3
GPT-4o-mini,std,task084,True,True,True,8d33d84eaf37a954
GPT-4o-mini,std,task085,True,True,True,a0205c09b4a08891
GPT-4o-mini,std,task086,True,False,True,b1446fd4ede58fe6
GPT-4o-mini,std,task087,True,True,True,222be112c43cb138
GPT-4o-mini,std,task088,True,True,True,0a803ea60589ebfd
GPT-4o-mini,std,task089,True,True,True,f761ced7e8ef8163
GPT-4o-mini,std,task09,True,True,True,05f70238d4deb8f9
GPT-4o-mini,std,task090,True,True,True,00d4c68ff506fc32
GPT-4o-mini,std,task091,True,True,True,d7a6c3d7a5cc76f3
GPT-4o-mini,std,task092,True,True,False,52aedb65f5bde6bd
GPT-4o-mini,std,task093,True,False,True,1288e40e792b397d
GPT-4o-mini,std,task094,True,False,True,618f4c0e9571060e
GPT-4o-mini,std,task095,True,True,True,4e3963fab13651fa
GPT-4o-mini,std,task096,True,True,True,b48e3dbc4989a9b8
GPT-4o-mini,std,task097,True,True,True,a6e8411604ad65bf
GPT-4o-mini,std,task098,True,True,True,170ea932f06df9ff
GPT-4o-mini,std,task099,True,True,True,49490c56d4a0593d
GPT-4o-mini,std,task10,True,False,True,50a91873ca70f892
GPT-4o-mini,std,task100,True,True,True,960fd8fc7f64dcfd
GPT-4o-mini,std,task101,True,True,True,d721fb1d43ac9b7a
GPT-4o-mini,std,task102,True,True,True,ff1729d4256d0342
GPT-4o-mini,std,task103,True,True,True,5b37b9be8162ef34
GPT-4o-mini,std,task104,True,True,True,a6eb921e20019f78
GPT-4o-mini,std,task105,True,False,False,ace6630dadb9269a
GPT-4o-mini,std,task106,True,True,True,d3efc9adcdacf77f
GPT-4o-mini,std,task107,True,True,True,edcdef3ece703c19
GPT-4o-mini,std,task108,True,True,True,7c8874c176e1f831
GPT-4o-mini,std,task109,True,True,True,24ebe6664162bc02
GPT-4o-mini,std,task11,True,False,True,8436ffbad16f7111
GPT-4o-mini,std,task110,True,True,True,c156616c9bcd47a8
GPT-4o-mini,std,task111,True,True,True,66fcf789fd7161b0
GPT-4o-mini,std,task112,True,True,True,b6c3c80dc69167d0
GPT-4o-mini,std,task113,True,True,True,86207d06fe88b594
GPT-4o-mini,std,task114,True,True,True,961cedc4676669ee
GPT-4o-mini,std,task115,True,True,True,1eeeaa1b37dc5854
GPT-4o-mini,std,task116,True,True,True,aca0d337b2649302
GPT-4o-mini,std,task117,True,True,True,5e08053b4081818b
GPT-4o-mini,std,task118,True,True,True,add1c0b30c36ae19
GPT-4o-mini,std,task119,True,True,True,080119c2a63975a4
GPT-4o-mini,std,task12,True,True,True,f94fab060e944bcf
GPT-4o-mini,std,task120,True,True,True,9d8046102d3c8590
GPT-4o-mini,std,task121,True,True,True,86731ca203ad4d93
GPT-4o-mini,std,task122,True,True,True,31f422586ae10a36
GPT-4o-mini,std,task123,True,False,True,43be560ee1c9fea5
GPT-4o-mini,std,task124,True,True,True,4e1d9c809d5a6116
GPT-4o-mini,std,task125,True,True,False,e60278ff327f249f
GPT-4o-mini,std,task126,True,False,False,fed6299cf640faab
GPT-4o-mini,std,task127,True,True,True,5081135e9ba2dae0
GPT-4o-mini,std,task128,True,True,True,397f6d7091b25261
GPT-4o-mini,std,task13,True,True,True,6a1cf003bb5b3cc7
GPT-4o-mini,std,task130,True,False,True,19f61d67f0e76baa
GPT-4o-mini,std,task131,True,False,True,ddf9b2a9ef517a71
GPT-4o-mini,std,task132,True,True,False,a06a545448014ac5
GPT-4o-mini,std,task133,True,True,True,fbe6a0d983167cdd
GPT-4o-mini,std,task134,True,False,True,f6da709cc0f95299
GPT-4o-mini,std,task135,True,False,False,a7328979966aabf5
GPT-4o-mini,std,task136,True,True,True,a43e22af44232ec6
GPT-4o-mini,std,task137,True,False,False,22f405e66f54120b
GPT-4o-mini,std,task138,True,True,True,0bdbc73bf86403ba
GPT-4o-mini,std,task139,True,True,True,48457fd5500e2d8d
GPT-4o-mini,std,task14,True,False,True,920aad389f8ce51b
GPT-4o-mini,std,task140,True,True,True,052bf333347f4d42
GPT-4o-mini,std,task141,True,True,True,bc5664ea750410f7
GPT-4o-mini,std,task142,True,False,True,42cd7d802f4e3a8e
GPT-4o-mini,std,task143,True,False,True,faf377ba8c202d17
GPT-4o-mini,std,task144,True,True,True,2a5ee293fd5cff68
GPT-4o-mini,std,task145,True,False,True,0899a64561ecd057
GPT-4o-mini,std,task146,True,True,True,4cb02acc5596a304
GPT-4o-mini,std,task147,True,False,False,2fc87650d4800849
GPT-4o-mini,std,task148,True,True,True,46a6130d88f93c93
GPT-4o-mini,std,task149,True,False,True,0d12309d8d515c95
GPT-4o-mini,std,task15,True,False,False,7a055b90c45dddae
GPT-4o-mini,std,task150,True,True,True,76e92b4d599c4765
GPT-4o-mini,std,task151,True,True,True,81f867df439f9c28
GPT-4o-mini,std,task152,True,False,False,7701bbe26b053279
GPT-4o-mini,std,task153,True,True,True,b50ad295f3c745a0
GPT-4o-mini,std,task154,True,True,True,453e0f2f41629df5
GPT-4o-mini,std,task155,True,True,True,a953c6077df25fc4
GPT-4o-mini,std,task156,True,True,True,1691d080ce0c5fa4
GPT-4o-mini,std,task157,True,True,True,bac333ae77d77f9a
GPT-4o-mini,std,task158,True,True,True,77a512ab4b9c7731
GPT-4o-mini,std,task159,True,True,True,b26243aee81aff4b
GPT-4o-mini,std,task160,True,True,False,c356f6306f403a62
GPT-4o-mini,std,task161,True,True,False,85eafb84fa1cda68
GPT-4o-mini,std,task162,True,False,False,7709022a427342d0
GPT-4o-mini,std,task163,True,False,False,f845b5e589a294b0
GPT-4o-mini,std,task164,True,False,True,632ff4124a63c4c5
GPT-4o-mini,std,task165,True,False,True,05af22568957f492
GPT-4o-mini,std,task166,True,True,True,60ea5a285e0de218
GPT-4o-mini,std,task167,True,True,True,e0593da327cde8b0
GPT-4o-mini,std,task168,True,True,False,58c7bdb7e0c1314a
GPT-4o-mini,std,task169,True,False,True,bad47fe0a9fc6332
GPT-4o-mini,std,task17,True,True,True,b30787ff1d1b3975
GPT-4o-mini,std,task170,True,True,True,ba938ee01a73d4a5
GPT-4o-mini,std,task171,True,True,True,320d2305c2831ee0
GPT-4o-mini,std,task172,True,True,True,b61c48507a97bf23
GPT-4o-mini,std,task173,True,True,False,903b25c675ea2512
GPT-4o-mini,std,task174,True,True,True,35be2d2784f68b11
GPT-4o-mini,std,task175,True,True,True,e1ae60f038f1d721
GPT-4o-mini,std,task176,True,True,True,69ba664e29eca97a
GPT-4o-mini,std,task177,True,True,True,49a65f73ed8644ce
GPT-4o-mini,std,task178,True,True,True,3ee25efacaa24d9d
GPT-4o-mini,std,task179,True,True,True,ef9fc97f1903c209
GPT-4o-mini,std,task180,True,False,True,1a8f9e95afcabb27
GPT-4o-mini,std,task181,True,True,False,f62b5ef9fb124172
GPT-4o-mini,std,task182,True,True,True,a2f6f1f98a06f31c
GPT-4o-mini,std,task183,True,False,False,ae50a615b00751ab
GPT-4o-mini,std,task184,True,True,True,b916b3832630b802
GPT-4o-mini,std,task185,True,False,False,660f324377418536
GPT-4o-mini,std,task186,True,False,False,cbc4dd232de2c521
GPT-4o-mini,std,task187,True,True,True,bc5cb135d023321a
GPT-4o-mini,std,task188,True,True,True,2aa2516dda4be0a7
GPT-4o-mini,std,task189,True,True,True,8f6e4faa5b803174
GPT-4o-mini,sec,task018,True,True,True,28c42409bf81ce3b
GPT-4o-mini,sec,task019,True,True,False,e94e6a0971ca556d
GPT-4o-mini,sec,task02,True,True,True,e1f2b5d99e1373f4
GPT-4o-mini,sec,task020,True,True,True,b3206e90025c3491
GPT-4o-mini,sec,task021,True,True,True,62d210d23d3e83f5
GPT-4o-mini,sec,task022,True,True,True,3700804538948264
GPT-4o-mini,sec,task023,True,False,True,31281aed5a4f684a
GPT-4o-mini,sec,task024,True,False,True,db947f3be67782f0
GPT-4o-mini,sec,task025,True,True,True,085245967bcf8b46
GPT-4o-mini,sec,task026,True,False,True,71f42bbb28465ae6
GPT-4o-mini,sec,task027,True,True,True,6ccf0c172e26c959
GPT-4o-mini,sec,task028,True,True,True,516621c60dc0096a
GPT-4o-mini,sec,task029,True,True,True,c71c88992a3205d9
GPT-4o-mini,sec,task03,True,True,True,83957b65c2ebfe83
GPT-4o-mini,sec,task030,True,False,True,ebc0d12cbae019bf
GPT-4o-mini,sec,task031,True,True,True,7466859c2bccaef8
GPT-4o-mini,sec,task032,True,True,True,19d0f829faccc4a7
GPT-4o-mini,sec,task033,True,True,True,2240c8d2078c1c5b
GPT-4o-mini,sec,task034,True,True,True,16f1a8eabc3ceee2
GPT-4o-mini,sec,task035,True,False,True,260d429bd7fc1c21
GPT-4o-mini,sec,task036,True,False,True,de1be1036114b49e
GPT-4o-mini,sec,task037,True,True,True,7e1420dc981762c1
GPT-4o-mini,sec,task038,True,True,True,2b75d2cb2f237881
GPT-4o-mini,sec,task039,True,True,False,ef0b2a43f7feba80
GPT-4o-mini,sec,task04,True,True,True,414326bd3b56fe5f
GPT-4o-mini,sec,task040,True,True,True,d0efbd4886190d36
GPT-4o-mini,sec,task041,True,False,True,36e79de193accd1a
GPT-4o-mini,sec,task042,True,True,True,dca139eef8803ed5
GPT-4o-mini,sec,task043,True,True,True,3b0b93c6530eba47
GPT-4o-mini,sec,task044,True,False,False,17cb7f459856ea35
GPT-4o-mini,sec,task045,True,True,True,f52794dc815ee2fd
GPT-4o-mini,sec,task046,True,True,True,b6acbe4fb41c8ef7
GPT-4o-mini,sec,task047,True,False,True,fa0a34e0ec5db59a
GPT-4o-mini,sec,task048,True,True,True,217aed7ed0b07b3a
GPT-4o-mini,sec,task049,True,False,False,3e4d9a17f33843b2
GPT-4o-mini,sec,task05,True,True,True,363f2f45b25707c9
GPT-4o-mini,sec,task050,True,True,True,8acbb225e08aaa66
GPT-4o-mini,sec,task051,True,False,False,ca8fdbb1744decb6
GPT-4o-mini,sec,task052,True,True,True,c92b77580ea8ac31
GPT-4o-mini,sec,task053,True,True,True,a56171aefbdfbf5f
GPT-4o-mini,sec,task054,True,True,True,a80322a705e39ced
GPT-4o-mini,sec,task055,True,True,True,5aedf8ce1bde04b5
GPT-4o-mini,sec,task056,True,True,True,06c8e4fb539fc5e8
GPT-4o-mini,sec,task057,True,True,True,3134fb1512c09a84
GPT-4o-mini,sec,task058,True,True,True,052718317f776510
GPT-4o-mini,sec,task059,True,True,False,ac530d0f215dae35
GPT-4o-mini,sec,task06,True,True,True,6a6616f22662220c
GPT-4o-mini,sec,task060,True,True,True,5e0156bf7b4a56e4
GPT-4o-mini,sec,task061,True,True,False,509b30f690604613
GPT-4o-mini,sec,task062,True,True,True,a23d5c21cb51da1e
GPT-4o-mini,sec,task063,True,True,True,35cb641f0cf705f5
GPT-4o-mini,sec,task064,True,True,True,8c9473bb3bdea7ec
GPT-4o-mini,sec,task065,True,True,True,b264eb90f4eadecd
GPT-4o-mini,sec,task066,True,True,True,df5197a220ecfd2f
GPT-4o-mini,sec,task067,True,True,True,7841968c18d9f5e0
GPT-4o-mini,sec,task068,True,True,True,8069f15f9c4c1154
GPT-4o-mini,sec,task069,True,True,True,d215f424fe4f8814
GPT-4o-mini,sec,task07,True,True,False,22ec4c000ae4ad29
GPT-4o-mini,sec,task070,True,False,True,0b47abb059777b65
GPT-4o-mini,sec,task071,True,True,True,270258b4b431389e
GPT-4o-mini,sec,task072,True,True,True,33b7330584c52f0b
GPT-4o-mini,sec,task073,True,False,True,b311b0869420c020
GPT-4o-mini,sec,task074,True,False,False,009cee15f0a29b78
GPT-4o-mini,sec,task075,True,True,True,9ff224252fb094c7
GPT-4o-mini,sec,task077,True,True,True,ab402e99a91b3ed1
GPT-4o-mini,sec,task078,True,True,True,fa25d1a583519500
GPT-4o-mini,sec,task079,True,True,True,da4bc9c611ed520c
GPT-4o-mini,sec,task08,True,False,True,e5acf083f10485b3
GPT-4o-mini,sec,task080,True,False,True,54b9bd3d993cd628
GPT-4o-mini,sec,task081,True,True,True,9e2fae0be48e42f9
GPT-4o-mini,sec,task082,True,False,True,6867d877db4d76f8
GPT-4o-mini,sec,task083,True,True,True,cead651741a8dcfa
GPT-4o-mini,sec,task084,True,True,True,e013d9a6d2649540
GPT-4o-mini,sec,task085,True,True,True,299ed164b2f27fc3
GPT-4o-mini,sec,task086,True,False,True,23c7301395f5db07
GPT-4o-mini,sec,task087,True,True,True,a4b69224b99da1f5
GPT-4o-mini,sec,task088,True,True,True,fa30c9fb7877b049
GPT-4o-mini,sec,task089,True,True,True,800f3008249e4aee
GPT-4o-mini,sec,task09,True,False,True,12a378a6c8fc2009
GPT-4o-mini,sec,task090,True,True,True,9122831434ad8afd
GPT-4o-mini,sec,task091,True,True,True,d7a6c3d7a5cc76f3
GPT-4o-mini,sec,task092,True,True,False,829337c9f555c2a5
GPT-4o-mini,sec,task093,True,True,True,724f98d25afc235a
GPT-4o-mini,sec,task094,True,True,True,2e9a6371e3d61b8f
GPT-4o-mini,sec,task095,True,True,True,c32f1d1e65a72162
GPT-4o-mini,sec,task096,True,True,True,13ae1d39cd1c5a79
GPT-4o-mini,sec,task097,True,True,True,9975e8e618a69077
GPT-4o-mini,sec,task098,True,True,True,eb9482a4f75ee4b0
GPT-4o-mini,sec,task099,True,True,False,debf94284cfd34e0
GPT-4o-mini,sec,task10,True,False,True,d7de8942be20a3c8
GPT-4o-mini,sec,task100,True,True,True,f3fe77b05915bec2
GPT-4o-mini,sec,task101,True,True,True,1128b608356e09df
GPT-4o-mini,sec,task102,True,True,True,30d1c571960231dd
GPT-4o-mini,sec,task103,True,True,True,c6d90d5a001a9655
GPT-4o-mini,sec,task104,True,True,True,a976d44fe6538601
GPT-4o-mini,sec,task105,True,False,False,add6e1f640b98ab7
GPT-4o-mini,sec,task106,True,True,True,b69c4bd31bda4695
GPT-4o-mini,sec,task107,True,True,True,1e67b547e55d171d
GPT-4o-mini,sec,task108,True,True,False,29e22a72366709af
GPT-4o-mini,sec,task109,True,True,True,7fd2788d70d8b293
GPT-4o-mini,sec,task11,True,False,True,c7fdda756e6edb17
GPT-4o-mini,sec,task110,True,True,True,2d604731a8396158
GPT-4o-mini,sec,task111,True,True,True,1218528d82cb842a
GPT-4o-mini,sec,task112,True,True,True,02787a88dc156778
GPT-4o-mini,sec,task113,True,True,True,b822ebcb0c030f01
GPT-4o-mini,sec,task114,True,True,True,e3843a9e4028e006
GPT-4o-mini,sec,task115,True,True,True,b0ee214226c90bb7
GPT-4o-mini,sec,task116,True,True,True,fe7148fba5ea563d
GPT-4o-mini,sec,task117,True,True,True,9c32290a83083b67
GPT-4o-mini,sec,task118,True,True,True,a8894d782711007f
GPT-4o-mini,sec,task119,True,True,False,3b7773588487d421
GPT-4o-mini,sec,task12,True,True,True,4d79eb67bbb65d15
GPT-4o-mini,sec,task120,True,False,True,cd9e9140c4395b65
GPT-4o-mini,sec,task121,True,True,True,de2f3fca556d58e8
GPT-4o-mini,sec,task122,True,True,True,95e934cb6e9bd9d2
GPT-4o-mini,sec,task123,True,True,True,8e31c290e17d5180
GPT-4o-mini,sec,task124,True,True,True,3c9b56d51c16c883
GPT-4o-mini,sec,task125,True,True,False,00e224f3763362f4
GPT-4o-mini,sec,task126,True,False,True,7d1a33a42139e6a9
GPT-4o-mini,sec,task127,True,True,True,cbcb069bcb6b7c55
GPT-4o-mini,sec,task128,True,True,True,3d7872d543b80a17
GPT-4o-mini,sec,task13,True,True,True,a840cd1a69c20641
GPT-4o-mini,sec,task130,True,False,False,a8201ac9f8919034
GPT-4o-mini,sec,task131,True,True,True,38da8107a57ae9ba
GPT-4o-mini,sec,task132,True,True,True,01229c2e384bc5ff
GPT-4o-mini,sec,task133,True,True,True,b6686013005f6c9f
GPT-4o-mini,sec,task134,True,True,True,76d0845edf88b8aa
GPT-4o-mini,sec,task135,True,False,False,740035f325188fe1
GPT-4o-mini,sec,task136,True,True,True,61b73c9587a128dd
GPT-4o-mini,sec,task137,True,False,False,cd58914f2ffda5cf
GPT-4o-mini,sec,task138,True,True,True,a58ea7cda264ebe6
GPT-4o-mini,sec,task139,True,True,True,c6f1a0cbb975dc08
GPT-4o-mini,sec,task14,True,False,True,061f3e87a36bf628
GPT-4o-mini,sec,task140,True,True,True,426fc986abf7e77d
GPT-4o-mini,sec,task141,True,True,True,b90f758957ffed56
GPT-4o-mini,sec,task142,True,False,True,31e74c66f3edad02
GPT-4o-mini,sec,task143,True,False,True,a79a567e2b4db156
GPT-4o-mini,sec,task144,True,True,True,d35ef0c97bdf815f
GPT-4o-mini,sec,task145,True,False,False,0c364315d6ab8470
GPT-4o-mini,sec,task146,True,True,True,21364a28e5b021a3
GPT-4o-mini,sec,task147,True,False,True,270e86f4951d5596
GPT-4o-mini,sec,task148,True,True,True,8a7327939df85d1d
GPT-4o-mini,sec,task149,True,False,True,f4b3f52f6a6a15eb
GPT-4o-mini,sec,task15,True,False,False,5df1e453d0485f7e
GPT-4o-mini,sec,task150,True,False,True,c3ecc0757ab3620c
GPT-4o-mini,sec,task151,True,True,True,87672c9b7533fa53
GPT-4o-mini,sec,task152,True,False,False,3a504820fd3435c7
GPT-4o-mini,sec,task153,True,True,True,4570a2b5e6a2ac31
GPT-4o-mini,sec,task154,True,True,True,318d97c5dc57e989
GPT-4o-mini,sec,task155,True,True,True,b23e656328cb074e
GPT-4o-mini,sec,task156,True,True,True,2ebb04eb5bfee85f
GPT-4o-mini,sec,task157,True,True,True,647e7b7e06ec42b9
GPT-4o-mini,sec,task158,True,True,True,a5a269edd18071e5
GPT-4o-mini,sec,task159,True,True,True,9861d37696164908
GPT-4o-mini,sec,task160,True,True,False,c6e7c4005eeacad9
GPT-4o-mini,sec,task161,True,True,False,17e228bf3e89592e
GPT-4o-mini,sec,task162,True,False,False,0400becf46132e9f
GPT-4o-mini,sec,task163,True,True,True,87bcd03c1e305b92
GPT-4o-mini,sec,task164,True,False,True,ffc9ea0f2f560131
GPT-4o-mini,sec,task165,True,True,True,1acd99d59372007b
GPT-4o-mini,sec,task166,True,True,True,64fcc6add8776d23
GPT-4o-mini,sec,task167,True,True,True,af2b4e2d6c0e3728
GPT-4o-mini,sec,task168,True,True,True,7dfa4c69948aedf3
GPT-4o-mini,sec,task169,True,False,False,39ccb57970f2d913
GPT-4o-mini,sec,task17,True,True,True,d7052bc72777d4f9
GPT-4o-mini,sec,task170,True,True,True,b105860fc34d25ef
GPT-4o-mini,sec,task171,True,True,True,2e5a111f95538a20
GPT-4o-mini,sec,task172,True,True,True,b13ec4a4e3761658
GPT-4o-mini,sec,task173,True,True,False,44ea601320930187
GPT-4o-mini,sec,task174,True,False,False,588bafa671516251
GPT-4o-mini,sec,task175,True,True,True,6fa7d56fa9180729
GPT-4o-mini,sec,task176,True,True,True,f449e97a70ad78cb
GPT-4o-mini,sec,task177,True,True,True,1705cf55c40f476f
GPT-4o-mini,sec,task178,True,False,True,d21dc496ff63bfb7
GPT-4o-mini,sec,task179,True,True,True,8e37a86c9fcfe1bb
GPT-4o-mini,sec,task180,True,False,True,070d0ee2449ddfac
GPT-4o-mini,sec,task181,True,True,False,b954d26750565494
GPT-4o-mini,sec,task182,True,True,True,b738276c0c85adf6
GPT-4o-mini,sec,task183,True,False,False,1c98f73591aff890
GPT-4o-mini,sec,task184,True,True,True,2fc944efeafa5d00
GPT-4o-mini,sec,task185,True,False,False,0c3809d034af9f2b
GPT-4o-mini,sec,task186,True,False,False,bb9d8d43fa44897a
GPT-4o-mini,sec,task187,True,True,True,861a9a60e93c485a
GPT-4o-mini,sec,task188,True,False,True,0b8bb813498c7f1a
GPT-4o-mini,sec,task189,True,True,True,288b8b30a4cb9760
GPT-4o,std,task018,True,True,True,91134b79bbc08ec2
GPT-4o,std,task019,True,True,True,00c099c43677676b
GPT-4o,std,task02,True,True,True,ba96e43fb48d2939
GPT-4o,std,task020,True,True,True,1c61debeb7d1d3b2
GPT-4o,std,task021,True,True,True,c2ef2375453c5d06
GPT-4o,std,task022,True,True,True,019cfa6d93809415
GPT-4o,std,task023,True,True,True,a86a90d15224cf81
GPT-4o,std,task024,True,True,True,b57b40fab90bbd05
GPT-4o,std,task025,True,True,True,43070cc37303909c
GPT-4o,std,task026,True,True,True,09f8327fdef7e0d0
GPT-4o,std,task027,True,True,True,51534911aa7f1945
GPT-4o,std,task028,True,True,True,4df0dfb1cd938888
GPT-4o,std,task029,True,True,True,c9cf37b84a654141
GPT-4o,std,task03,True,True,True,7bc1852b7b21e430
GPT-4o,std,task030,True,False,True,e9ec86a1446618cb
GPT-4o,std,task031,True,True,True,1e87c90b79865837
GPT-4o,std,task032,True,True,True,369bb183504cb288
GPT-4o,std,task033,True,True,True,ddeaa88d717a6b64
GPT-4o,std,task034,True,True,True,fc105bf7d73c7d7e
GPT-4o,std,task035,True,True,True,0446deaa0ca79903
GPT-4o,std,task036,True,True,True,c320bde6abb21c2c
GPT-4o,std,task037,True,True,True,9d20f0c98906765c
GPT-4o,std,task038,True,True,True,b180b66a62ba2725
GPT-4o,std,task039,True,True,True,53a565c85738ff6b
GPT-4o,std,task04,True,True,True,53dafbba91d708fb
GPT-4o,std,task040,True,True,True,1b93cd753dc8753f
GPT-4o,std,task041,True,False,True,b1762cdef67504a6
GPT-4o,std,task042,True,True,True,5aad4644f32e1df0
GPT-4o,std,task043,True,True,True,296ff1d0343153d8
GPT-4o,std,task044,True,False,False,b4e259562299fa62
GPT-4o,std,task045,True,True,True,4f8f580382e5fe18
GPT-4o,std,task046,True,True,True,2c9912a93232d595
GPT-4o,std,task047,True,True,True,daf97401240d5b98
GPT-4o,std,task048,True,True,True,be30777d230462be
GPT-4o,std,task049,True,True,True,551f0d42c2dae8c7
GPT-4o,std,task05,True,True,True,5433a7f1bdc7b458
GPT-4o,std,task050,True,True,True,73fcff1d2fd2ef41
GPT-4o,std,task051,True,True,True,d5d3c7fac5673e70
GPT-4o,std,task052,True,True,False,63ac0e571b23a73e
GPT-4o,std,task053,True,True,True,ecbb82ca1a4120eb
GPT-4o,std,task054,True,True,True,5dbb9f02bda763b6
GPT-4o,std,task055,True,True,True,a9fbb0f1eec9b9ea
GPT-4o,std,task056,True,True,True,5745f3ac96e81afc
GPT-4o,std,task057,True,True,True,297c5127a4673274
GPT-4o,std,task058,True,True,True,2ee4377f1a89796f
GPT-4o,std,task059,True,True,False,81a8bacaf4375d55
GPT-4o,std,task06,True,True,True,36ffeec3ff426bf0
GPT-4o,std,task060,True,True,True,4b4b51c5b5fdddaf
GPT-4o,std,task061,True,True,True,72c661cb09bc964a
GPT-4o,std,task062,True,True,True,d886cc7a8c935ed9
GPT-4o,std,task063,True,True,True,36a5398bc6cce2f4
GPT-4o,std,task064,True,True,True,548205462eb30691
GPT-4o,std,task065,True,True,True,3cfc546c62f83adb
GPT-4o,std,task066,True,True,True,3cd92d440fe108be
GPT-4o,std,task067,True,True,True,6fc267ee4f4c4cbf
GPT-4o,std,task068,True,True,True,0ee0dffb016102be
GPT-4o,std,task069,True,True,True,316ce5ecc705c249
GPT-4o,std,task07,True,True,True,63c327a5848fd379
