task_id,category,title,defect_class_ids,defect_class_names,n_defect_classes,evidence,evidence_sources,rubric_solution_correct,rubric_description_clear,rubric_category_correct,rubric_tests_adequate,rubric_realistic,flagged_on_any_rubric_dim,outside_taxonomy,in_released_185,disposition,review_note_verbatim
task020,ADS,Balanced Parentheses,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Correct bracket matcher. Non-bracket characters are silently ignored, which is reasonable but untested since every input is pure brackets. Add a mixed-content case and a deeply nested one."
task021,ADS,BFS Shortest Path,C2,Description/test mismatch,1,"[C2] Good shortest-path search, but the prompt never says what happens when the start or end node is missing, and a textbook BFS that indexes the dict directly would crash on the case the test expects to return empty.",audit record,accept,revise,agree,accept,accept,yes,no,yes,retained (repaired),"Good shortest-path search, but the prompt never says what happens when the start or end node is missing, and a textbook BFS that indexes the dict directly would crash on the case the test expects to return empty. State the missing-node behavior."
task022,ADS,Two Sum,C2,Description/test mismatch,1,"[C2] The solution is right by its own convention, but the description never says which pair to return when two are valid, and one test hard-codes the answer a brute-force solution wouldn't give.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"The solution is right by its own convention, but the description never says which pair to return when two are valid, and one test hard-codes the answer a brute-force solution wouldn't give. Either state 'smallest second index' or let the test accept any valid pair."
task023,ADS,Fibonacci (Memoized),,,0,,,revise,accept,agree,accept,accept,yes,yes,yes,retained (repaired),"The answers are correct, but fib(1000) hits Python's recursion limit and the cache is rebuilt on every top-level call, so nothing is memoized between calls. Make it iterative or use a module-level dict, or cap n in the description."
task024,ADS,Count Occurrences in Sorted Array,C6,Weak (non-discriminative) tests,1,"[C6] Correct counts, but the whole point is binary search and nothing enforces it: a one-line arr.count() passes all nine tests.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct counts, but the whole point is binary search and nothing enforces it: a one-line arr.count() passes all nine tests. Add a large-array timing guard and a target below the minimum."
task025,ADS,Rotate List,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Handles negative and oversized rotations correctly. The description promises a new list but no test checks the input is left alone, and one test compares rotate to rotate so a uniformly wrong version would still pass. Add those assertions."
task026,ADS,All Permutations,,,0,,,accept,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"Matches the spec, but it never says duplicates produce duplicate tuples or what an empty list returns, and two tests only check the count. Nail down those cases and assert exact contents, not just length."
task027,ADS,Matrix Transpose,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"No real problems. The guard rejects a couple of oddly-shaped-but-valid matrices, but that's untested and harmless. Fine as an easy item."
task028,ADS,Quicksort,C6,Weak (non-discriminative) tests,1,"[C6] A correct quicksort, but the one rule that matters, 'not the built-in sort', is unenforced: return sorted(lst) passes all nine tests.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"A correct quicksort, but the one rule that matters, 'not the built-in sort', is unenforced: return sorted(lst) passes all nine tests. Ban the shortcut with a monkeypatch or a source check, and add a randomized large input."
task029,ADS,Longest Common Subsequence,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Correct and the tests actually distinguish subsequence from substring, which is good. No changes needed beyond an optional large-input case."
task030,SPT,Word Frequency Counter,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"The tokenizer is ASCII-only, so accented words get split apart, and stray apostrophes are kept against the strip-punctuation rule. Use a unicode-aware word rule and define exactly what counts as a word, then test unicode, hyphenated words, and digits."
task031,ADS,Flatten Nested List,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Clean and well covered, including the string-is-not-a-list trap. Nothing to fix."
task032,ADS,Sliding Window Maximum,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Correct sliding-window maximum. No complexity bound is stated so the naive version passes, which is fine here. Optional: add a negative-k and all-negative case."
task033,SPT,Group Anagrams,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Correct group-anagrams, and the two-level ordering it promises is stated and tested. Nothing to fix; optional cases for case sensitivity and duplicates."
task034,ADS,Coin Change (Minimum Coins),C2,Description/test mismatch,1,"[C2] Correct, but the description never says coins are available in unlimited supply, and a 'use each coin once' reading fails three tests.",audit record,accept,revise,agree,accept,accept,yes,no,yes,retained (repaired),"Correct, but the description never says coins are available in unlimited supply, and a 'use each coin once' reading fails three tests. Add 'denominations, unlimited supply' to the prompt and test an empty coin list."
task035,ADS,Detect Cycle (Next-Pointer Array),C3 C6,Ill-posed task; Weak (non-discriminative) tests,2,"[C3] As specified, every valid input has a cycle, so bool(sequence) is a full solution and the 'no cycle' test is a copy of a cycle test. || [C6] As specified, every valid input has a cycle, so bool(sequence) is a full solution and the 'no cycle' test is a copy of a cycle test.",audit record,revise,reject,agree,reject,reject,yes,no,yes,retained (repaired),"As specified, every valid input has a cycle, so bool(sequence) is a full solution and the 'no cycle' test is a copy of a cycle test. Redesign the spec with a real sentinel like -1 meaning 'no next node' so acyclic inputs exist, then write genuine tests."
task036,ADS,Trie (Prefix Tree),C6,Weak (non-discriminative) tests,1,"[C6] A trie that shares one root across instances still passes, though, so add a test with two independent tries.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct trie and the search-versus-prefix trap is tested. A trie that shares one root across instances still passes, though, so add a test with two independent tries."
task037,ADS,LRU Cache,C6,Weak (non-discriminative) tests,1,"[C6] There's no test for eviction order after updating an existing key, so removing the recency bump on put still passes.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct LRU. There's no test for eviction order after updating an existing key, so removing the recency bump on put still passes. Add that sequence and a negative-capacity case."
task038,CAT,Caesar Cipher,,,0,,,accept,accept,agree,accept,revise,yes,yes,yes,retained (repaired),"Correct Caesar cipher, well covered. Non-ASCII letters get mangled but that's untested. Optional to fix; it's a toy exercise with little production signal."
task039,SPT,Run-Length Encoding,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"The decoder can't read its own encoder's output when a newline is involved (the regex isn't DOTALL) and digit characters corrupt the round-trip. Add re.DOTALL, restrict or escape the alphabet, define 'malformed', and test a newline round-trip."
task040,SPT,Roman Numeral Converter,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"No issues, and the strongest test suite in its group. Just make the category consistent with task117, which labels the same int-to-string shape differently."
task041,SPT,Longest Palindromic Substring,C6,Weak (non-discriminative) tests,1,"[C6] Correct and it honors the first-occurrence tie-break, but the tests explicitly accept the answer the spec forbids, so a version returning the last match would pass.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct and it honors the first-occurrence tie-break, but the tests explicitly accept the answer the spec forbids, so a version returning the last match would pass. Pin the tie-break with longest_palindrome('babad') == 'bab'."
task042,SPT,Word Wrap,C6,Weak (non-discriminative) tests,1,"[C6] Correct word wrap, but a version that forgets the space in its width check emits over-long lines and still passes, since every test avoids the boundary.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct word wrap, but a version that forgets the space in its width check emits over-long lines and still passes, since every test avoids the boundary. Assert that no returned line exceeds the width."
task043,SPT,Levenshtein Distance,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),Clean Levenshtein and the tests have teeth. Nothing to fix; arguably fits ADS better than SPT.
task044,SPT,Camel/Snake Case Converter,C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] The acronym rule (parseHTML to parse_html) is required by a test but never stated, and to_camel's lowercase-first promise isn't enforced. || [C6] The acronym rule (parseHTML to parse_html) is required by a test but never stated, and to_camel's lowercase-first promise isn't enforced.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"The acronym rule (parseHTML to parse_html) is required by a test but never stated, and to_camel's lowercase-first promise isn't enforced. Add the acronym rule to the prompt and a test that catches a capitalized first letter."
task045,SPT,ISBN-13 Validator,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Correct and the tests genuinely discriminate. Non-ASCII digits slip past the guard and get accepted, which is a minor quirk worth a note in the prompt."
task046,SPT,Morse Code Encoder,C2,Description/test mismatch,1,"[C2] The mapping is right, but only 11 of the 36 symbols are tested, so a typo in the table would go unnoticed, and case-insensitivity is required by a test but never stated.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"The mapping is right, but only 11 of the 36 symbols are tested, so a typo in the table would go unnoticed, and case-insensitivity is required by a test but never stated. Add the case rule to the prompt and cover the rest of the alphabet."
task047,SPT,Text Statistics,C1,Reference fails/contradicts its own tests,1,"[C1] The solution returns avg_word_length 5.0 where the description's own example says 5.5, because it strips trailing punctuation.",audit record,revise,revise,agree,revise,accept,yes,no,yes,retained (repaired),"The solution returns avg_word_length 5.0 where the description's own example says 5.5, because it strips trailing punctuation. Decide whether a word keeps its punctuation, make the code, example, and a new test agree, and enforce the 2dp rounding."
task048,CAT,Password Strength Checker,C6,Weak (non-discriminative) tests,1,"[C6] Matches the spec, but the length rule is not enforced because one test uses >= rather than ==, and the special-character set is never defined.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Matches the spec, but the length rule is not enforced because one test uses >= rather than ==, and the special-character set is never defined. Pin the exact score at length 7 and 8 and state which characters count as special."
task049,SPT,Find and Replace (Simultaneous),C6,Weak (non-discriminative) tests,1,"[C6] The replacement really is simultaneous and correct, but a sequential version passes every test, so that property isn't checked.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"The replacement really is simultaneous and correct, but a sequential version passes every test, so that property isn't checked. Add a chaining case like find_replace('ab', {'a':'b','b':'c'}) expecting 'bc'."
task050,SPT,Count Unique Characters,,,0,,,accept,accept,agree,accept,revise,yes,yes,yes,retained (repaired),"Correct but trivial: a naive one-liner passes and every value is hard-coded to 1, so it carries no more information than a set. Strengthen it (first-appearance order, or real counts) or drop it."
task051,SPT,Sentence Case Normalizer,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"Capitalization breaks when the text starts with a space or a quote, and it won't capitalize after a period that isn't followed by a space. Capitalize the first actual letter rather than index 0, and add leading-whitespace and leading-punctuation tests."
task052,SPT,Anagram Pairs Finder,,,0,,,revise,revise,agree,revise,accept,yes,yes,yes,retained (repaired),"Duplicate input words produce a pair like ('eat','eat'), which breaks the stated a-less-than-b rule. Skip equal pairs, define case handling, and pin the output order with a full-equality test."
task053,FIO,Count Lines in File,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),Trivial but correct. Optional: test multibyte UTF-8 and CRLF input.
task054,FIO,Find Files by Extension,C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] A test requires matching 'py' without the leading dot, which the prompt never mentions, and the 'absolute paths' promise isn't checked (a relative-path version passes). || [C6] A test requires matching 'py' without the leading dot, which the prompt never mentions, and the 'absolute paths' promise isn't checked (a relative-path version passes).",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"A test requires matching 'py' without the leading dot, which the prompt never mentions, and the 'absolute paths' promise isn't checked (a relative-path version passes). State the extension rule and assert absolute paths."
task055,FIO,Append to Log File,C2,Description/test mismatch,1,"[C2] A test needs parent directories created, but the prompt only says 'create it if needed', which reads as the file.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"A test needs parent directories created, but the prompt only says 'create it if needed', which reads as the file. Say parents are created, and tighten the timestamp check, which currently accepts almost anything."
task056,FIO,Parse INI-Style Config,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Matches the spec. Several behaviors (keys before a section, lines without '=', inline comments) are undefined and untested; adding cases for those would tighten it, but nothing is broken."
task057,FIO,JSON File Merge,,,0,,,accept,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"Fine, but the merge is shallow and that's never tested, so a nested key can be silently dropped. Add a nested-merge case and a three-file precedence chain."
task058,FIO,CSV Filter by Column Value,C6,Weak (non-discriminative) tests,1,"[C6] Correct, but the return count is only ever 0 or 1 in the tests, so a version that writes one match and stops would pass.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, but the return count is only ever 0 or 1 in the tests, so a version that writes one match and stops would pass. Add a multi-match case and check quoted fields."
task059,FIO,File Tail (Last N Lines),,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),"Correct, including the n=0 trap. splitlines() treats form feeds and a few other characters as line breaks, which could surprise; otherwise just add empty-file and CRLF cases."
task060,FIO,Atomic File Write,,,0,,,revise,accept,agree,revise,accept,yes,yes,yes,retained (repaired),"mkstemp creates the temp file as 0600 and the mode is never restored, so overwriting a 0644 config tightens its permissions, and there's no fsync before the rename. Copy the target's mode onto the temp, flush and fsync the file and its directory, and add a permission and durability test."
task061,FIO,Directory Size Calculator,C2,Description/test mismatch,1,"[C2] Correct, but a test wants NotADirectoryError for a path that doesn't exist, where FileNotFoundError is the natural choice, so a reasonable implementation fails.",audit record,accept,revise,agree,accept,accept,yes,no,yes,retained (repaired),"Correct, but a test wants NotADirectoryError for a path that doesn't exist, where FileNotFoundError is the natural choice, so a reasonable implementation fails. Loosen that, and note symlink handling is unspecified."
task062,FIO,Duplicate File Finder,C6,Weak (non-discriminative) tests,1,"[C6] Correct, but nothing checks the hash is actually SHA-256; swapping in MD5 passes.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, but nothing checks the hash is actually SHA-256; swapping in MD5 passes. Assert the key is a 64-character SHA-256 digest and add a subdirectory and zero-byte case."
task063,CAT,SHA-256 File Hash,C6 C7,Weak (non-discriminative) tests; Redundancy,2,"[C6] Every test file is tiny, so a version that reads one chunk and ignores the rest passes. || [C7] 'task12 subsumes task063 (SHA-256 over file bytes)'.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct and verified against known vectors. Every test file is tiny, so a version that reads one chunk and ignores the rest passes. Add a file larger than 64 KB."
task064,CAT,HMAC-SHA256 Signature,C1,Reference fails/contradicts its own tests,1,"[C1] The solution is right, but the worked example digest is fabricated, so anyone trusting it is misled, and the basic test recomputes with hmac itself rather than a fixed vector.",audit record,accept,revise,agree,accept,accept,yes,no,yes,retained (repaired),"The solution is right, but the worked example digest is fabricated, so anyone trusting it is misled, and the basic test recomputes with hmac itself rather than a fixed vector. Replace the example with a real RFC 4231 value and assert that literal."
task065,CAT,Base64 Encode/Decode,,,0,,,accept,accept,agree,accept,accept,no,no,yes,retained (repaired),No issues. Strict decoding is genuinely tested. Optional: add an explicit missing-padding case.
task066,CAT,Simple XOR Cipher,C6,Weak (non-discriminative) tests,1,"[C6] Correct, but the 'cyclic' part isn't enforced because the cycling test uses a single-byte key.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct, but the 'cyclic' part isn't enforced because the cycling test uses a single-byte key. Add a multi-byte-key vector with expected bytes, and consider noting that repeating-key XOR isn't secure."
task067,CAT,Secure Token Generator,C2 C6,Description/test mismatch; Weak (non-discriminative) tests,2,"[C2] Correct and uses a real CSPRNG, but the padding-stripping rule is required by a test yet never stated, and nothing checks the entropy source, so a random-based version passes. || [C6] Correct and uses a real CSPRNG, but the padding-stripping rule is required by a test yet never stated, and nothing checks the entropy source, so a random-based version passes.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Correct and uses a real CSPRNG, but the padding-stripping rule is required by a test yet never stated, and nothing checks the entropy source, so a random-based version passes. State the padding rule and add an exact-length assertion."
task068,CAT,Constant-Time String Comparison,C6,Weak (non-discriminative) tests,1,"[C6] It correctly uses compare_digest, but no test can distinguish it from ==, so the whole point is unverified, and it crashes on non-ASCII text.",audit record,revise,accept,agree,reject,revise,yes,no,yes,retained (repaired),"It correctly uses compare_digest, but no test can distinguish it from ==, so the whole point is unverified, and it crashes on non-ASCII text. Encode both sides to bytes first, and add a test that pins constant-time behavior or the non-ASCII case."
task069,CAT,JWT Header Decoder (no validation),C6,Weak (non-discriminative) tests,1,"[C6] It returns non-dict values for JSON headers that aren't objects, and the padding branch never fires in tests, so a version that breaks on real unpadded headers passes.",audit record,revise,revise,agree,revise,accept,yes,no,yes,retained (repaired),"It returns non-dict values for JSON headers that aren't objects, and the padding branch never fires in tests, so a version that breaks on real unpadded headers passes. Re-add base64url padding, require a dict header, and test an unpadded segment."
task070,WNT,Simple HTML Sanitizer,C5,Reproduced security flaw,1,"[C5] This regex sanitizer lets several live XSS payloads through (unterminated tags, attributes containing '>', tag re-emergence) and its tests include no bypass attempts.",audit record,reject,revise,agree,revise,revise,yes,no,yes,retained (repaired),"This regex sanitizer lets several live XSS payloads through (unterminated tags, attributes containing '>', tag re-emergence) and its tests include no bypass attempts. Rebuild it on html.parser with an allow-list and proper escaping, or rename it an honest tag stripper and drop the security framing."
task071,WNT,IP Address Classifier,C6,Weak (non-discriminative) tests,1,"[C6] Clean, but 'private' is never defined and Python's notion of it is surprising (0.0.0.0 and TEST-NET count, CGNAT doesn't), so an RFC1918-only version passes while disagreeing on edge cases.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Clean, but 'private' is never defined and Python's notion of it is surprising (0.0.0.0 and TEST-NET count, CGNAT doesn't), so an RFC1918-only version passes while disagreeing on edge cases. Define the ranges and add boundary tests around 172.16/172.31 and IPv6."
task072,WNT,URL Parser,C2,Description/test mismatch,1,"[C2] Reasonable parser, but several behaviors (single values unwrapped from lists, blank values dropped, host lowercased) are required or produced yet never stated.",audit record,accept,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Reasonable parser, but several behaviors (single values unwrapped from lists, blank values dropped, host lowercased) are required or produced yet never stated. Fill in the example in the prompt and test repeated and blank params."
task073,DBS,SQLite Table Creator,C5,Reproduced security flaw,1,"[C5] Table names are validated but column names and types are dropped into the DDL raw, which is an injection hole, and a case-variant duplicate raises the wrong error.",audit record,revise,revise,agree,revise,accept,yes,no,yes,retained (repaired),"Table names are validated but column names and types are dropped into the DDL raw, which is an injection hole, and a case-variant duplicate raises the wrong error. Whitelist and quote every identifier like task122 does, and add an injection test."
task074,DBS,SQLite Upsert,C5 C6,Reproduced security flaw; Weak (non-discriminative) tests,2,"[C5] No identifier validation at all, so a crafted table string injects SQL, and a key-only record builds broken SQL. || [C6] Validate identifiers, require a UNIQUE or PK on the key, and add a test that an upsert preserves columns the record omits (an INSERT OR REPLACE version currently passes).",audit record,revise,revise,agree,revise,accept,yes,no,yes,retained (repaired),"No identifier validation at all, so a crafted table string injects SQL, and a key-only record builds broken SQL. Validate identifiers, require a UNIQUE or PK on the key, and add a test that an upsert preserves columns the record omits (an INSERT OR REPLACE version currently passes)."
task075,DBS,Key-Value Store (File-Backed),C6,Weak (non-discriminative) tests,1,"[C6] A version whose delete never writes to disk still passes, so add a test that reopens the store after a delete, plus non-scalar values.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Matches the spec including cross-instance persistence. A version whose delete never writes to disk still passes, so add a test that reopens the store after a delete, plus non-scalar values."
task077,DBS,CSV to SQLite Importer,C5 C6,Reproduced security flaw; Weak (non-discriminative) tests,2,"[C5] CSV headers become column names without escaping, so a quote in a header injects a column, and re-importing silently appends duplicates. || [C6] Validate and escape identifiers, decide the existing-table behavior, and add a header-quoting test; the 'all TEXT' rule is also unenforced.",audit record,revise,revise,agree,revise,accept,yes,no,yes,retained (repaired),"CSV headers become column names without escaping, so a quote in a header injects a column, and re-importing silently appends duplicates. Validate and escape identifiers, decide the existing-table behavior, and add a header-quoting test; the 'all TEXT' rule is also unenforced."
task078,DBS,In-Memory Database,C6,Weak (non-discriminative) tests,1,"[C6] Correct for what's specified, but a version whose delete returns the right count without removing anything, and whose find applies only the first filter, passes all six tests.",audit record,accept,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Correct for what's specified, but a version whose delete returns the right count without removing anything, and whose find applies only the first filter, passes all six tests. Add a multi-filter AND case and a find-after-delete check."
task079,DBS,Simple JSON Schema Validator,C2,Description/test mismatch,1,[C2] The legal type names are never listed yet the tests pin exact error wording; enumerate the types and relax the message checks.,audit record,accept,revise,disagree,revise,accept,yes,no,yes,retained (repaired),"Correct, but this is dict validation with no database in sight, so it belongs under DPS. The legal type names are never listed yet the tests pin exact error wording; enumerate the types and relax the message checks."
task080,DBS,SQLite Batch Insert,C5 C6,Reproduced security flaw; Weak (non-discriminative) tests,2,"[C5] Rollback works, but table and column names are interpolated raw (injection), and mismatched row keys raise KeyError instead of the documented RuntimeError. || [C6] Validate identifiers, and add a mid-batch failure test since a per-row autocommit version currently passes.",audit record,revise,accept,agree,revise,accept,yes,no,yes,retained (repaired),"Rollback works, but table and column names are interpolated raw (injection), and mismatched row keys raise KeyError instead of the documented RuntimeError. Validate identifiers, and add a mid-batch failure test since a per-row autocommit version currently passes."
